addition	जोड
Okhaldhunga	ओखलढुङ्गा
okra	 रामतोरिया, चिप्ले भिन्डी
onion	प्याज
open	खोल्नु
orange	सुन्तला
outside	बाहिर
Palpa	 पाल्पा 
Panchthar	 पाँचथर 
papaya	मेवा
Parbat	पर्वत
Parsa	पर्सा 
patient	 बिरामी
peach	 आरु
peanut	 बदाम
pear	 नास्पाती
pickle	अचार
pizza	पिज्जा
pointed gourd	परवल
poison	विष
polio drops	पोलियो थोपा
pomegranate	अनार
pomelo	 भोगटे
poor	गरिब
potato	 आलु
pregnant	 गर्भवती
pumpkin	 फर्सी
puri	पुरी
purple	 प्याजी
Pyuthan	प्युठान 
quick	छिटो
radish	मूला
raisins	 किशमिश
Ramechhap	रामेछाप
Rasuwa	 रसुवा
Rautahat	  रौतहट 
recovery	सन्चो, आराम
red	रातो
rice pudding	 खिर
Rolpa	रोल्पा 
roti	रोटी
Rukum East	रुकुम पुर्व
Rukum West	रुकुम पश्चिम
Rupandehi	 रुपन्देही
salty	 नुनिलो
samosa	 समोसा
Saptari	सप्तरी
Sarlahi	 सर्लाही 
sausage	ससेज
second born female	माइली
second born male	माइला
sexual	यौन
short 	होचो 
sick	बिरामी
Sindhuli	 सिन्धुली 
Sindhupalchok	सिन्धुपाल्चोक 
Siraha	सिराहा 
sister-in-law	 भाउजु
sister's son	भतिजी 
situated	पर्छ
skinny	दुब्लो, पातलो
sky blue	आकाशे
soft	नरम
Solukhumbu	 सोलुखुम्बु
son	छोरा
sour	अमिलो
soybean	  भटमास
spicy chickpea	 चनाचटपटे
spicy	पिरो
spinach	साग
sponge gourd	 घिरौला
strong	 बलियो
successful	सफल
sugarcane	उखु 
Sunsari	सुनसरी
Surkhet	सुर्खेत
sweet	गुलियो
swelling	सुन्निनु
Syangja	स्याङ्जा
tall	 अग्लो
Tanahun	तनहुँ 
Taplejung	ताप्लेजुङ
taro leaves	 कर्कलो
taro root	पिँडालु
taste	स्वाद 
tasteless	  स्वाद नभएका
Terhathum	तेह्रथुम
thank you	धन्यवाद 
thick	 बाक्लो
thin	पातलो
third born female	साइली
tomato	गोलभेडा
tuberculosis	  क्षयरोग
Udayapur	उदयपुर   
uncle	काका
uncle-in-law	फुपाजु
understood	  बुझ्यो
unpleasant taste	 नमिठो
unsuccessful	असफल
vegetable	तरकारी
violet	वैजनी
virtuous	असल
vitamin	भिटामिन
vomiting	 बान्ता
vowels	स्वर
was not	थिएन
was	 थियो
weak	कमजोर
wealthy	धनि
white	सेतो
wife	श्रीमती
wound	घाउ
yam	तरुल
yellow	  पहेंलो
yoga	  योग
yomari	योमरी 
youngest female	कान्छी
youngest male	कान्छा
o'clock	 बज्यो
AD (Gregorian calendar)	सन् 
afternoon	अपरान्ह
airplane	हवाईजहाज
airport	विमानस्थल 
ambulance	एम्बुलेन्स
annually	वार्षिक
Ashadh	 असार
Asoj	असोज
badminton	ब्याडमिन्टन
Baishakh	वैशाख
ball	 बल
balloon	बेलुन
basketball	 बास्केटबल
behind	पछाडी
Bhadra	भदौ
bicycle	साइकल
boat	 डुङ्गा
boxing	 बक्सिङ, मुक्केबाज
bus	बस
buspark	बसपार्क 
busy	व्यस्त
calculator	क्यालकुलेटर
carrom-board	क्यारेमबोर्ड
Chaitra	चैत्र
chariot	 रथ
communication	 संचार
competition	प्रतियोगिता
computer	कम्प्युटर
cricket	क्रिकेट
cymbals	झ्याली
daily	दैनिक
damaha	दमाहा
